index,category,status,details,engine_accepted
0,Sofa,SOURCE_FAMILY_COMPLETE_CONVERTED_CANDIDATE,16 original textures; six inherited shapes; 96 appearances; no seating/connections,False
1,Wine,COUNT_1_TO_4_CONVERTED_CANDIDATE,A1 source retained,False
2,Champagne,COUNT_1_TO_4_CONVERTED_CANDIDATE,A4,False
3,Honey Wine,COUNT_1_TO_4_CONVERTED_CANDIDATE,A4,False
4,Ice Wine,COUNT_1_TO_4_CONVERTED_CANDIDATE,A4,False
5,Vodka,COUNT_1_TO_4_CONVERTED_CANDIDATE,"A6: four exact source arrangements, original PNG; no drinking/quality behavior.",False
6,Emerald,SINGLE_MODEL_CONVERTED_CANDIDATE,"A4 static cocktail candidate retained; no effect, mixing or drinking behavior.",False
7,All 25 bottled drink families,ALL_97_PINNED_STATIC_ARRANGEMENTS_CONVERTED_CANDIDATE,"A9 completes the remaining 9 families / 33 files. Brandy, Carignan, Sunset Glow have 1–3; others 1–4. No engine, inventory pose or drinking acceptance implied.",False
8,All 14 cocktail static models,ALL_14_STATIC_MODELS_CONVERTED_CANDIDATE,"A10 completes the other seven. Five animated sheets are bound; runtime Signature tint, effects and engine acceptance remain incomplete.",False
9,Shaker,SKELETON_AND_PUT_ANIMATION_CANDIDATE,"A8: two original bones, five boxes, renderer basis preserved, PUT 0.375s / 13 keys converted. Optional lab rig. No hand shaking, mixing, lid interaction or engine acceptance.",False
10,Cabinet static bodies,SOURCE_FAMILIES_CONVERTED_CANDIDATE,"A6: bar_cabinet, glass_bar_cabinet, cellar_cabinet, each single/left/middle/right; 12 static source models. No contents rendering or inventory logic.",False
11,Other furniture,ALL_SIXTEEN_STOOL_COLORS_COMPLETE_STATIC,All sixteen original base+seat assemblies retained; table and ladder complete static sources. No seating.,False
12,Lighting and incense,STATIC_LIGHT_AND_INCENSE_FAMILIES_COMPLETE,"All17 independent string lights,3 pendant styles,8 incense kinds x2 static states. Native particle assets added; runtime emission/lighting require code.",False
13,Paintings and boards,ALL_PAINTINGS_BOARDS_CHALK_STATIC_FAMILIES,"14 painting originals retained;14 board kinds,13 floral upper pieces,2 original-size chalkboards converted. Source orientation contracts retained; automatic placement/text require code.",False
14,A1-A3 plant resources,CONVERTED_CANDIDATE_RETAINED,"Trellis, three crop/vine families, wild vine; no growth/world generation",False
